No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
361,"""A Deal to Beat Bobby""","January 20, 2022","Mark Cuban, Sunny Anderson",Red Potatoes,Adyre Mason X  Tamearra Dyson,"Sara Gore, Justin Bazdarich, Tricia Williams",Vegan Burger,Tamearra Dyson,Mark Cuban, Sunny Anderson,Sara Gore, Justin Bazdarich, Tricia Williams,29
362,"""Double the Trouble""","January 27, 2022","Michael Voltaggio, Bryan Voltaggio",Yellowfin tuna,DeeDee Niyomkul X  Juan Carlos Bazan,"Drew Nieporent, Leah Cohen, David Santos",Tom kha kai,DeeDee Niyomkul,Michael Voltaggio, Bryan Voltaggio,Drew Nieporent, Leah Cohen, David Santos,29
363,"""Who's Wayne Is It Anyway""","February 3, 2022","Damaris Phillips, Wayne Brady",Corn,Steven Brooks X  Becky Brown,"Melba Wilson, Bryce Shuman, Lourdes Castro",Chicken fried steak,Bobby Flay,Damaris Phillips, Wayne Brady,Melba Wilson, Bryce Shuman, Lourdes Castro,29
364,"""Chocolate Showdown""","February 10, 2022","Alex Guarnaschelli, Duff Goldman",Cocoa Powder,Amber Croom X  Emily Oyer,"Paulette Goto, Thomas Raquel, Claudia Fleming",Sopa de chocolate,Bobby Flay,Alex Guarnaschelli, Duff Goldman,Paulette Goto, Thomas Raquel, Claudia Fleming,29
365,"""Cliff and the Jet""","February 17, 2022","Jet Tila, Cliff Crooks",Catfish,Kimberly Gamble X  Tom Berry,"Leah Cohen, David Massoni, Ariane Daguin",Merda De Can,Tom Berry,Jet Tila, Cliff Crooks,Leah Cohen, David Massoni, Ariane Daguin,29
366,"""Girl Meets Flay""","February 24, 2022","Alex Guarnaschelli, Molly Yeh",D'Anjou,Sam Fore X  Jon Keeley,"Nicole Friday, Bryce Shuman, Katie Pickens",Rabbit pie,Jon Keeley,Alex Guarnaschelli, Molly Yeh,Nicole Friday, Bryce Shuman, Katie Pickens,29
367,"""Let the Good Food Roll""","March 3, 2022","Anne Burrell, Andy Richter",Black Kale,Amy Mehrtens X  Nathanial Zimet,"Joe Isidori, Michele Ragussis, Justin Sutherland",Fried oyster Po’ boy,Bobby Flay,Anne Burrell, Andy Richter,Joe Isidori, Michele Ragussis, Justin Sutherland,29
368,"""Don't Be Nice""","March 10, 2022","D-Nice, Michael Symon",Guava,James Briscione X  Sue Torres* (*did not finish),"Albert di Meglio, Ariel Fox, David Massoni",tortellini,James Briscione,D-Nice, Michael Symon,Albert di Meglio, Ariel Fox, David Massoni,29
369,"""Fowl Shot""","March 17, 2022","Amar'e Stoudemire, Katie Lee",Ricotta,Michael O'Halloran X  Alex Stickland,"John Seymour, Abigail Hitchcock, Matt Abdoo",Smoked Duck,Michael O'Halloran,Amar'e Stoudemire, Katie Lee,John Seymour, Abigail Hitchcock, Matt Abdoo,29
370,"""Foodie Downer""","March 24, 2022","Rachel Dratch, Eddie Jackson",Canned Tomatoes,Dorian Hunter X  Britt Rescigno,"Justin Sutherland, Lucinda Scala Quinn, Dan Churchill",Chicken and Dumplings,Britt Rescigno,Rachel Dratch, Eddie Jackson,Justin Sutherland, Lucinda Scala Quinn, Dan Churchill,29
371,"""Morena and the Marcona""","March 31, 2022","Morena Baccarin, Michael Voltaggio",Marcona Almonds,Cara Stadler X  Raymond Yaptinchay,"Tracy Jane Young, Chris Cheung, Tricia Williams",Mapo Tofu,Bobby Flay,Morena Baccarin, Michael Voltaggio,Tracy Jane Young, Chris Cheung, Tricia Williams,29
372,"""Bobby, Meet Me At the Griddle?""","April 7, 2022","Sunny Anderson, Maren Morris",Limes,Matthew Dolan X  Thomas Kelly,"Al Lanza, Ariel Fox, Ed McFarland",Lobster Tacos,Bobby Flay,Sunny Anderson, Maren Morris,Al Lanza, Ariel Fox, Ed McFarland,29
373,"""Fancy Pants""","April 14, 2022","Bethenny Frankel, Geoffrey Zakarian",Tofu,Chad Rosenthal X  Brian Hill,"Adrienne Cheatham, Michael Jenkins, Ayesha Nurdjaja",Fried Chicken,Chad Rosenthal,Bethenny Frankel, Geoffrey Zakarian,Adrienne Cheatham, Michael Jenkins, Ayesha Nurdjaja,29
374,"""Breakfast with Boswell""","April 14, 2022","Sunny Anderson, Stephanie Boswell",Amarena Cherries,Jenifer Minelli X  Gabriella Baldwin,"Michael Laiskonis, Georgette Farkas, Alain Allegretti",French Toast,Bobby Flay,Sunny Anderson, Stephanie Boswell,Michael Laiskonis, Georgette Farkas, Alain Allegretti,29
375,"""Get in the Game""","April 27, 2022","Jaymee Sire, Jeff Mauro",Broccolini,Steven Lingenfelter X  Laura Gonzalez,"Matt FX, Ayesha Nurdjaja, Felipe Donnelly",Sopes,Bobby Flay,Jaymee Sire, Jeff Mauro,Matt FX, Ayesha Nurdjaja, Felipe Donnelly,30
376,"""You Braise Me Up""","May 12, 2022","Josh Groban, Alex Guarnaschelli",Carabinero Prawns,Thomas Youell X  Diego Sanchez,"Katie Pickens, Einat Admony, Martie Duncan",Grilled Branzino,Bobby Flay,Josh Groban, Alex Guarnaschelli,Katie Pickens, Einat Admony, Martie Duncan,30
377,"""BBQ'd Revenge""","May 26, 2022","Carson Kressley, Brooke Williamson",Bison Ribeye Steak,Megan Day X  David Sandusky,"Matt Abdoo, Leah Wolfe, Craig Samuel",Grilled Tri-tip,David Sandusky,Carson Kressley, Brooke Williamson,Matt Abdoo, Leah Wolfe, Craig Samuel,30
378,"""It's Tila Time""","June 2, 2022","Jet Tila, Ali Tila",Miso,Ricky Dolinsky X  Renata Ferraro,"Chris Cheung, Lourdes Castro, Dima Martseniuk",Chawanmushi,Bobby Flay,Jet Tila, Ali Tila,Chris Cheung, Lourdes Castro, Dima Martseniuk,30
379,"""High Steaks""","June 9, 2022","Josh Capon, Anne Burrell",New York Strip steak,César Aldrete X  Trisha Pérez Kennealy,"Abigail Hitchcock, Justin Bazdarich, Dana Cowin",Pastel azteca,Bobby Flay,Josh Capon, Anne Burrell,Abigail Hitchcock, Justin Bazdarich, Dana Cowin,30
380,"""Don't Oaxacaway from Me""","June 16, 2022","Brooke Williamson, Geoffrey Zakarian",Oaxaca cheese,Noah Zamler X  Aerin Zavory,"Ali Rosen, Hugh Mangum, Melba Wilson",Lamb Chops,Aerin Zavory,Brooke Williamson, Geoffrey Zakarian,Ali Rosen, Hugh Mangum, Melba Wilson,30
381,"""British Invasion""","June 23, 2022","Brooklyn Beckham, Sunny Anderson",Apple,Caroline Budge X  Francis Legge,"Ben Ford, Susan Povich, Robert Aikens",Fish and chips with Mushy Peas,Francis Legge,Brooklyn Beckham, Sunny Anderson,Ben Ford, Susan Povich, Robert Aikens,30
382,"""In Bobby's Kitchen, with Amy""","June 30, 2022","Amy Sedaris, Michael Symon",Chorizo,Kristin Beringson X  Amanda Salas,"James Briscione, Ali Rosen, Jason Birchard",Beef Stroganoff,Amanda Salas,Amy Sedaris, Michael Symon,James Briscione, Ali Rosen, Jason Birchard,30
383,"""A is for Aasif, Alex, Ambush!""","June 30, 2022","Aasif Mandvi, Alex Guarnaschelli",Dried Apricot,Surbhi Sahni X  Duane Lam,"Adrienne Cheatham, Jehangir Mehta, Helen Nguyen",Gushtaba,Surbhi Sahni,Aasif Mandvi, Alex Guarnaschelli,Adrienne Cheatham, Jehangir Mehta, Helen Nguyen,30
384,"""You're So Buteau-ful""","July 7, 2022","Michelle Buteau, Michael Voltaggio",Coconut,Zev Bennett X  Petrina Peart,"Hari Nayak, Aliya LeeKong, Akhtar Nawab",Goat curry,Bobby Flay,Michelle Buteau, Michael Voltaggio,Hari Nayak, Aliya LeeKong, Akhtar Nawab,30
385,"""Smoove Operator'","July 7, 2022","JB Smoove, Damaris Phillips",Bok choy,Cecilia Valencia X  Christian Gill,"Brian Duffy, Leah Cohen, Corby Kummer",Banh mi,Christian Gill,JB Smoove, Damaris Phillips,Brian Duffy, Leah Cohen, Corby Kummer,30
386,"""Watch the Throne""","July 14, 2022","Tiffani Faison, Jeff Mauro",Jamon iberico,Roosevelt Caesar X  Natalia Santos,"David Santos, Ariel Fox, James Gonzalez",Pastelon,Roosevelt Caesar,Tiffani Faison, Jeff Mauro,David Santos, Ariel Fox, James Gonzalez,30
387,"""Food, But Make It Fashion""","July 14, 2022","Sunny Anderson, Carson Kressley",Duck Breast,Eli Dunn X  Kim Mills,"Ana Calderone, Felipe Donnelly, Lourdes Castro",Corn Soup,Bobby Flay,Sunny Anderson, Carson Kressley,Ana Calderone, Felipe Donnelly, Lourdes Castro,30
388,"""Hale to the Chefs""","July 21, 2022","Tony Hale, Amanda Freitag",Israeli couscous,Cristian Rebolledo X  Matt Migliore,"Ed Brown, Adrienne Cheatham, Jeremy Salamon",Grilled Octopus,Matt Migliore,Tony Hale, Amanda Freitag,Ed Brown, Adrienne Cheatham, Jeremy Salamon,30
389,"""Alex, Eric & America vs Bobby""","July 28, 2022","Alex Guarnaschelli, Eric Adjepong",Pork Porterhouse,Tara Monsod X  Tomas Chavarria,"Dale Talde, Nicole Ponseca, Anton Dayrit",Chicken Adobo,Bobby Flay,Alex Guarnaschelli, Eric Adjepong,Dale Talde, Nicole Ponseca, Anton Dayrit,30
390,"""Smack Talk City""","August 4, 2022","Eddie Jackson, Buddy Valastro",Fresh Squid,Andrew McQuesten X  Jarod Farina,"Michael Psilakis, Helen Nguyen, Matt FX",Congee,Bobby Flay,Eddie Jackson, Buddy Valastro,Michael Psilakis, Helen Nguyen, Matt FX,31
391,"""Just ""Dill"" With It""","August 11, 2022","Alex Guarnaschelli, Jeff Mauro",Persian Cucumbers,Kathy Fang X  Natascha Hess,"Chris Cheung, Tricia Williams, Josh Grinker",Red braised pork belly,Bobby Flay,Alex Guarnaschelli, Jeff Mauro,Chris Cheung, Tricia Williams, Josh Grinker,31
392,"""New Phone, Who Dis""","August 18, 2022","Katie Lee Biegel, David Burtka",Buttermilk,Lambert Givens X  Jesse Houston,"Chris Scott, Melba Wilson, Craig Samuel",Gumbo,Lambert Givens,Katie Lee Biegel, David Burtka,Chris Scott, Melba Wilson, Craig Samuel,31
393,"""A Global Gauntlet""","August 25, 2022","Anne Burrell, Marc Murphy",Chickpea,Ashten Garrett X  Nasser Jaber,"Georgette Farkas, David Santos, Jumana Bishara",Maqluba,Bobby Flay,Anne Burrell, Marc Murphy,Georgette Farkas, David Santos, Jumana Bishara,31
394,"""Bobby's Besties""","September 1, 2022","Tanya Holland, Alex Guarnaschelli",Pancetta,Cam Waron X  Quincy Randolph,"Craig Samuel, Mama Tanya, John Seymour",Chicken and Waffles,Bobby Flay,Tanya Holland, Alex Guarnaschelli,Craig Samuel, Mama Tanya, John Seymour,31
395,"""Talk the Shiitake""","September 8, 2022","Esther Choi, Michael Symon",Shiitake Mushrooms,Saif Rahman X  Carolina Gomez,"Sue Torres, Chintan Pandya, Michele Ragussis",Cazuela de mariscos,Bobby Flay,Esther Choi, Michael Symon,Sue Torres, Chintan Pandya, Michele Ragussis,31
396,"""Kitchen Update""","September 15, 2022","Carla Hall, Colin Jost",Sour Orange,Katsuji Tanabe X  Jo Proul,"Luis Arce Mota, Ariel Fox, Felipe Donnelly",Mission burrito,Bobby Flay,Carla Hall, Colin Jost,Luis Arce Mota, Ariel Fox, Felipe Donnelly,31
